Epoch: 1, Train Loss: 2.9091455385920315, Val Loss: 2.2683542774273797, Took 0:13:24.393240, ETA: 2:00:39.539160

Epoch: 2, Train Loss: 2.143317265213815, Val Loss: 2.0327914338845474, Took 0:12:25.129802, ETA: 1:39:21.038416

Epoch: 3, Train Loss: 1.9539040864793016, Val Loss: 1.8790248485711905, Took 0:13:45.158934, ETA: 1:36:16.112538

Epoch: 4, Train Loss: 1.8260398622234493, Val Loss: 1.7925111413002015, Took 0:11:44.760217, ETA: 1:10:28.561302

Epoch: 5, Train Loss: 1.720774495141189, Val Loss: 1.7227359904692723, Took 0:11:52.704050, ETA: 0:59:23.520250

Epoch: 6, Train Loss: 1.6456559377678475, Val Loss: 1.6592431948735165, Took 0:12:24.230499, ETA: 0:49:36.921996

Epoch: 7, Train Loss: 1.5806686674064834, Val Loss: 1.6196137873026042, Took 0:14:11.686464, ETA: 0:42:35.059392

Epoch: 8, Train Loss: 1.5283957141151756, Val Loss: 1.5918852549332838, Took 0:12:23.389364, ETA: 0:24:46.778728

Epoch: 9, Train Loss: 1.4900940562010834, Val Loss: 1.5600694812261142, Took 0:12:07.473856, ETA: 0:12:07.473856

Epoch: 10, Train Loss: 1.4573987731094524, Val Loss: 1.541753161412019, Took 0:10:56.386810, ETA: 0:00:00

