Epoch: 1, Train Loss: 2.188895239134203, Val Loss: 1.7537032026510972, Took 0:06:33.021058, ETA: 0:58:57.189522

Epoch: 2, Train Loss: 1.6245695419065942, Val Loss: 1.5707477115667783, Took 0:06:48.327933, ETA: 0:54:26.623464

Epoch: 3, Train Loss: 1.4601511127958993, Val Loss: 1.5056083917617797, Took 0:06:47.994873, ETA: 0:47:35.964111

Epoch: 4, Train Loss: 1.3619057627194942, Val Loss: 1.4476283586942233, Took 0:06:47.830353, ETA: 0:40:46.982118

Epoch: 5, Train Loss: 1.2851293224633507, Val Loss: 1.4278348853954903, Took 0:06:48.571573, ETA: 0:34:02.857865

Epoch: 6, Train Loss: 1.2219539227915424, Val Loss: 1.4274982401957879, Took 0:06:45.107419, ETA: 0:27:00.429676

Epoch: 7, Train Loss: 1.171043761810008, Val Loss: 1.4465019239829138, Took 0:06:41.777619, ETA: 0:20:05.332857

Epoch: 8, Train Loss: 1.123538764224032, Val Loss: 1.4373400495602535, Took 0:06:38.950594, ETA: 0:13:17.901188

Epoch: 9, Train Loss: 1.074828312632352, Val Loss: 1.4193820604911218, Took 0:07:02.492491, ETA: 0:07:02.492491

Epoch: 10, Train Loss: 1.0321204296509083, Val Loss: 1.440378578351094, Took 0:07:02.274040, ETA: 0:00:00

Test Performance: Loss: 1.4560675565232621, Bleu1: 66.76459947328478, Bleu4: 8.213822198544994
