Epoch: 1, Train Loss: 2.598085341688901, Val Loss: 2.069247994514612, Took 0:11:03.947782, ETA: 1:39:35.530038

Epoch: 2, Train Loss: 1.9303339701865363, Val Loss: 1.836477415378277, Took 0:11:24.033750, ETA: 1:31:12.270000

Epoch: 3, Train Loss: 1.7169935696626426, Val Loss: 1.6980505338081946, Took 0:11:23.929184, ETA: 1:19:47.504288

Epoch: 4, Train Loss: 1.5996600917480535, Val Loss: 1.585610179259227, Took 0:11:24.042436, ETA: 1:08:24.254616

Epoch: 5, Train Loss: 1.5125923172598745, Val Loss: 1.5457962810993195, Took 0:11:22.690001, ETA: 0:56:53.450005

Epoch: 6, Train Loss: 1.4548345690121467, Val Loss: 1.5133702924618355, Took 0:11:35.440251, ETA: 0:46:21.761004

Epoch: 7, Train Loss: 1.4057687251864586, Val Loss: 1.4780640221559085, Took 0:11:28.256882, ETA: 0:34:24.770646

Epoch: 8, Train Loss: 1.3669734508694498, Val Loss: 1.4743929917995746, Took 0:11:24.458737, ETA: 0:22:48.917474

Epoch: 9, Train Loss: 1.3317558718341616, Val Loss: 1.4451912545240841, Took 0:11:24.671986, ETA: 0:11:24.671986

Epoch: 10, Train Loss: 1.2999590904415932, Val Loss: 1.4369738785120156, Took 0:11:26.263074, ETA: 0:00:00

