Epoch: 1, Train Loss: 2.6803591141373304, Val Loss: 2.1248929748168357, Took 0:10:06.985339, ETA: 1:31:02.868051

Epoch: 2, Train Loss: 2.0145195519975325, Val Loss: 1.8929903534742503, Took 0:08:55.025093, ETA: 1:11:20.200744

Epoch: 3, Train Loss: 1.7962609774053353, Val Loss: 1.7434434005847343, Took 0:08:51.947619, ETA: 1:02:03.633333

Epoch: 4, Train Loss: 1.6595399086567466, Val Loss: 1.6465959223417135, Took 0:08:53.387861, ETA: 0:53:20.327166

Epoch: 5, Train Loss: 1.5755302754594533, Val Loss: 1.6053679984349472, Took 0:09:14.780741, ETA: 0:46:13.903705

Epoch: 6, Train Loss: 1.5121301591140517, Val Loss: 1.5528145973499006, Took 0:09:17.639713, ETA: 0:37:10.558852

Epoch: 7, Train Loss: 1.462680518831818, Val Loss: 1.5296436135585492, Took 0:09:19.274760, ETA: 0:27:57.824280

Epoch: 8, Train Loss: 1.4259801158577587, Val Loss: 1.5226048510808212, Took 0:09:00.380279, ETA: 0:18:00.760558

Epoch: 9, Train Loss: 1.3907743436072517, Val Loss: 1.4930758118629455, Took 0:09:00.757821, ETA: 0:09:00.757821

Epoch: 10, Train Loss: 1.3634898761311314, Val Loss: 1.4865607046164, Took 0:09:06.823643, ETA: 0:00:00

Test Performance: Loss: 1.4720361019702668, Bleu1: 66.77425625502991, Bleu4: 7.81825227737614
