Epoch: 1, Train Loss: 2.673674995602456, Val Loss: 2.1423293948173523, Took 0:09:58.163002, ETA: 1:29:43.467018

Epoch: 2, Train Loss: 2.023402890013011, Val Loss: 1.9012116606418903, Took 0:10:00.664010, ETA: 1:20:05.312080

Epoch: 3, Train Loss: 1.7930866453780636, Val Loss: 1.7435321019246028, Took 0:09:56.636173, ETA: 1:09:36.453211

Epoch: 4, Train Loss: 1.661578520633632, Val Loss: 1.6679094534653884, Took 0:10:03.646963, ETA: 1:00:21.881778

Epoch: 5, Train Loss: 1.5825717474257996, Val Loss: 1.587457484465379, Took 0:09:52.260410, ETA: 0:49:21.302050

Epoch: 6, Train Loss: 1.5190752755418868, Val Loss: 1.5704981033618635, Took 0:10:03.606391, ETA: 0:40:14.425564

Epoch: 7, Train Loss: 1.4742217233252628, Val Loss: 1.5280821648927836, Took 0:09:44.404087, ETA: 0:29:13.212261

Epoch: 8, Train Loss: 1.4234738179030848, Val Loss: 1.5251335134873023, Took 0:09:42.815964, ETA: 0:19:25.631928

Epoch: 9, Train Loss: 1.3887436259457993, Val Loss: 1.4921416392693152, Took 0:09:50.194416, ETA: 0:09:50.194416

Epoch: 10, Train Loss: 1.3622625365277727, Val Loss: 1.4785343491114102, Took 0:05:31.646825, ETA: 0:00:00

Test Performance: Loss: 1.4814117183076574, Bleu1: 58.08859451930641, Bleu4: 4.280409151480558
