Epoch: 1, Train Loss: 2.0664054718652, Val Loss: 1.6559968930024367, Took 0:03:31.045844, ETA: 0:31:39.412596

Epoch: 2, Train Loss: 1.5205380257618786, Val Loss: 1.5048538313462183, Took 0:03:33.507893, ETA: 0:28:28.063144

Epoch: 3, Train Loss: 1.352791557240384, Val Loss: 1.4342983154150155, Took 0:03:31.198691, ETA: 0:24:38.390837

Epoch: 4, Train Loss: 1.2357799560215341, Val Loss: 1.4262251239556534, Took 0:03:52.958924, ETA: 0:23:17.753544

Epoch: 5, Train Loss: 1.133620153783217, Val Loss: 1.4015893202561598, Took 0:03:55.002827, ETA: 0:19:35.014135

Epoch: 6, Train Loss: 1.0434594916939224, Val Loss: 1.4368743882729458, Took 0:03:48.458843, ETA: 0:15:13.835372

Epoch: 7, Train Loss: 0.9666242458533831, Val Loss: 1.4241602434561802, Took 0:03:34.789656, ETA: 0:10:44.368968

Epoch: 8, Train Loss: 0.8852148812472053, Val Loss: 1.45797478052286, Took 0:03:30.173126, ETA: 0:07:00.346252

Epoch: 9, Train Loss: 0.8103307436464171, Val Loss: 1.4976554567997271, Took 0:03:32.829845, ETA: 0:03:32.829845

Epoch: 10, Train Loss: 0.7444218535535837, Val Loss: 1.5200562816399794, Took 0:03:32.981186, ETA: 0:00:00

Test Performance: Loss: 1.526962814939783, Bleu1: 64.63941687413543, Bleu4: 7.824080885327241
